"","nb_potential_bs","nb_barrels_pbs","nb_containers_under_200_L_pbs","nb_containers_over_200_L_pbs","nb_wells_pbs","nb_green_plants_pbs","nb_other_plants_pbs","nb_large_volumes_pbs","nb_tires_pbs","nb_small_waste_pbs","nb_big_waste_pbs","nb_watercraft_pbs","nb_buildings_materials_pbs","nb_manholes_pbs","nb_protection_pbs","nb_troughs_pbs","nb_pit_pbs","nb_canals_pbs","nb_gutters_pbs","nb_others_pbs","nb_containers_pbs","nb_plants_pbs","nb_waste_pbs","nb_WMI_pbs","C1B201_mean","C2B201_mean","C3B201_mean","h_vegetation_mean","h_buildings_mean","ndwi_P_mean","ndvi_P_mean","lm_vegetation_ca","lm_vegetation_contig_mn","lm_vegetation_cpland","lm_vegetation_lpi","lm_vegetation_lsi","lm_vegetation_pd","lm_vegetation_shape_mn","lm_buildings_ca","lm_buildings_contig_mn","lm_buildings_cpland","lm_buildings_lpi","lm_buildings_lsi","lm_buildings_pd","lm_buildings_shape_mn","number_buildings","mean_size_buildings"
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596995234489441,-0.610836982727051,0.625214297324419,1.55280397209066,5.32553802305682,0.0736221487140612,0.402521733601159,1.09331337891872,0.524363925003999,65.2554744525548,39.1240875912409,6.81904761904762,2012.23184717248,1.56624333064949,1.18980258966116,0.831016904432422,74.3546765001676,28.4612805900101,5.22727272727273,1176.66578654758,1.48758160120242,17,254.345125882353
"188",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.652338325977325,-0.0205926969647408,-1.23526918143034,1.33574724942061,5.86746223464192,0.0931086043961848,0.372480604329793,1.09850063217636,0.453069919901485,72.0668361787141,36.5056302215765,5.71428571428571,2457.8957179576,1.37770029344969,0.0678063829173306,0.73534383792536,50,45.8823529411765,2.55555555555556,5899.1496491957,1.34414855241409,2,32.15954
"189",4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,12.6908998787403,6.178038880229,0.567200653254986,6.27157338251872,8.1363794616875,-0.00237964140574977,0.441706515159819,1.02148987227442,0.281516101770305,72.5,97.578125,4.85294117647059,978.962226784908,1.42019464155155,1.17305042446982,0.647583202249141,85.7531451887113,86.9432165929956,2.65137614678899,937.726100305674,1.30529356961966,5,37.1270544
"190",54,3,6,0,1,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,43,1,0,6.60247778892517,-2.06569829583168,0.0642297603189945,2.90309949663622,4.33269317538978,0.0902909088142146,0.474930105968636,1.38739073667897,0.354154099561908,61.3459879206212,70.7218866839229,8.33898305084746,3315.57641145214,1.3554967922305,1.22729553080368,0.783273624678314,57.1010724731882,13.2921676958076,7.36036036036036,3340.67866874342,1.18170199211642,39,231.094014615385
"191",6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2.60346418619156,-0.480272958055139,0.390715654939413,3.3519853853284,3.75203696386752,0.0354943150384425,0.595249080597935,2.7500422655138,0.608771077584807,75.8270458502612,65.5687753917586,6.63473053892216,290.90461991519,2.16892717048062,0.48820595700478,0.724198236070756,50.5718954248366,7.27124183006536,6.31428571428571,5735.28438116248,1.24121691878265,24,151.275179541667
"192",7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,-0.289514966309071,-1.20719215273857,-0.530679049901664,3.78816270764738,3.53966984140396,-0.00963658466607606,0.652176885260921,3.01818335698583,0.482928561420373,82.1919619249075,97.5145425700687,5.1551724137931,364.457645508501,1.55968134476129,0.379715744337051,0.714213800393501,53.1512605042017,17.7521008403361,5.35483870967742,4477.03321590745,1.33018719386248,18,182.522298166667
"193",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.063292920589447,-1.56496165692806,-0.464071832597256,6.17701549578757,4.27001023796619,0.0328089466005906,0.549890010680165,2.21535616049515,0.723460821096803,75.8825648414986,33.5194524495677,6.35333333333333,451.394686701975,1.97770884761736,0.196239649384274,0.757187425879868,52.4390243902439,20.7317073170732,4.31111111111111,5095.8101644475,1.37870927465233,11,154.619871272727
"194",24,0,4,2,0,5,0,2,5,0,0,0,0,0,0,6,0,0,0,0,6,5,5,6,8.90966689586639,-3.57886350154877,-0.17975140735507,4.90490909665055,4.25335132032007,0.0562451013789637,0.57920767559044,2.13834540059321,0.531161226648122,68.1283821608509,57.4547490203396,8.08843537414966,654.711815785988,1.86920633865199,0.649345831702384,0.815476177713718,57.4324324324324,6.14250614250614,6.08641975308642,3850.02856404849,1.21131019195268,25,231.32010964
"195",31,0,5,0,0,15,0,2,5,0,0,0,0,4,0,0,0,0,0,0,5,15,5,4,9.18210959434509,-1.2240851521492,-0.511512920260429,12.6317906524252,3.55075618169183,0.0116877180753319,0.625706087714713,1.19586138562752,0.464186462773923,73.6403069736403,53.3867200533867,5.11818181818182,1839.67809851605,1.36598455706725,0.209800925967741,0.650890454787675,64.2585551330798,52.4714828897338,3,2859.85391738575,1.33047259123197,4,396.4196195
"196",6,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,15.6648869514465,-1.12729036808014,-1.65612576901913,2.43621936136913,3.90122636187893,0.058634173738659,0.526156557249883,2.18024244613572,0.425582069621187,71.50439238653,92.7708638360176,7.72972972972973,504.531045136585,1.91508095059805,0.818462927919779,0.727353720274863,61.598440545809,10.916179337232,7.6043956043956,3909.76779868721,1.34211013671625,33,175.702602
